** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Mombo               1.4624        0.3715       0.5628         0.4837       3.2903        0.7456       0.2336         0.1238
Najamba             1.4563        0.3598       0.5734         0.4755       3.2913        0.7144       0.2211         0.1383
Nanga               1.4762        0.3655       0.5508         0.4831       2.9728        0.6747       0.2563         0.1609
Penange             1.4824        0.3716       0.5374         0.4861       3.2588        0.7337       0.2408         0.1347
Perge_Tegu          1.0127        0.2573       0.6649         0.6320       3.1019        0.7188       0.2073         0.1547
Tebul_Ure           1.4276        0.3738       0.5526         0.4769       3.3172        0.7571       0.2140         0.1084
Tiranige_Diga       1.5714        0.4020       0.5262         0.4291       3.2857        0.7194       0.2183         0.1530
Togo_Kan            1.4435        0.3492       0.5969         0.5221       3.1129        0.7260       0.2269         0.1466
Tommo_So            1.4275        0.3482       0.5866         0.5130       3.0652        0.7158       0.2150         0.1457
Toro_Tegu           1.5490        0.3939       0.5087         0.4706       2.9902        0.7053       0.2515         0.1719
Yanda_Dom           1.5674        0.3606       0.5480         0.4933       3.1348        0.7170       0.2128         0.1408
Yorno_So            1.2078        0.3131       0.5956         0.5519       2.9351        0.7194       0.2020         0.1323
TOTAL               1.4543        0.3559       0.5660         0.5009       3.1513        0.7232       0.2255         0.1418


** /proj/evolang2022/tiago/ST2022/data/hantganbangime/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Bankan_Tey          1.6307        0.3882       0.5033         0.4706       3.1200        0.7521       0.2094         0.1281
Ben_Tey             1.7039        0.3932       0.4897         0.4561       3.3408        0.7709       0.1786         0.1178
Bunoge              2.0102        0.4303       0.4794         0.4028       3.1429        0.7143       0.2388         0.1520
Jamsay              1.1908        0.3160       0.5960         0.5619       2.9538        0.7259       0.2170         0.1522
Mombo               1.7717        0.4071       0.4892         0.4360       3.3543        0.7590       0.2116         0.1128
Najamba             1.8227        0.4466       0.4715         0.3762       3.3191        0.7543       0.1946         0.1177
Nanga               1.5301        0.3888       0.5142         0.4465       3.0710        0.7172       0.2256         0.1375
Penange             1.5357        0.3740       0.5237         0.4556       3.2679        0.7427       0.2350         0.1164
Perge_Tegu          1.2000        0.3029       0.6062         0.5718       3.1179        0.7332       0.1888         0.1439
Tebul_Ure           1.5333        0.4136       0.5240         0.4197       3.3444        0.7811       0.1834         0.0828
Tiranige_Diga       1.7681        0.4395       0.4849         0.3842       3.1957        0.7227       0.2079         0.1468
Togo_Kan            1.3133        0.3463       0.5725         0.5273       3.2067        0.7600       0.2084         0.1332
Tommo_So            1.6188        0.3853       0.5309         0.4721       3.0221        0.7342       0.1983         0.1394
Toro_Tegu           1.7744        0.4786       0.4319         0.3753       3.1353        0.7424       0.2236         0.1416
Yanda_Dom           1.5690        0.3687       0.5459         0.4840       3.2184        0.7629       0.1824         0.1086
Yorno_So            1.2613        0.3379       0.5632         0.5303       3.0000        0.7576       0.1907         0.1087
TOTAL               1.5771        0.3886       0.5204         0.4607       3.1756        0.7457       0.2059         0.1275


** /proj/evolang2022/tiago/ST2022/data/hantganbangime/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Bankan_Tey          1.7874        0.4358       0.4733         0.4065       3.1932        0.7642       0.1871         0.1069
Ben_Tey             1.8095        0.4083       0.4742         0.4485       3.5048        0.8047       0.1579         0.0829
Bunoge              1.8898        0.4271       0.4903         0.4070       3.1695        0.7222       0.2264         0.1367
Jamsay              1.2899        0.3339       0.5692         0.5317       3.2560        0.7835       0.1693         0.1054
Mombo               1.8544        0.4357       0.4679         0.3785       3.2722        0.7256       0.2148         0.1320
Najamba             1.9938        0.4880       0.4363         0.3295       3.4753        0.7998       0.1779         0.0711
Nanga               1.8357        0.4663       0.4532         0.3544       3.0939        0.7270       0.2059         0.1492
Penange             1.6547        0.4031       0.5173         0.4462       3.3165        0.7507       0.2292         0.1150
Perge_Tegu          1.2424        0.3224       0.5571         0.5481       3.2888        0.7761       0.1592         0.1159
Tebul_Ure           2.0842        0.5017       0.4141         0.3242       3.3911        0.7959       0.1677         0.0845
Tiranige_Diga       1.7778        0.4369       0.4726         0.3860       3.1481        0.7195       0.2236         0.1310
Togo_Kan            1.5393        0.4010       0.4943         0.4708       3.2697        0.7754       0.1780         0.1147
Tommo_So            1.4975        0.3962       0.4949         0.4606       3.0846        0.7508       0.2054         0.1260
Toro_Tegu           2.0131        0.5255       0.3937         0.3302       2.9276        0.7322       0.2230         0.1509
Yanda_Dom           1.6786        0.4034       0.4977         0.4424       3.2857        0.7738       0.1818         0.0973
Yorno_So            1.3964        0.3781       0.5224         0.4838       3.0762        0.7648       0.1819         0.1119
TOTAL               1.7090        0.4227       0.4830         0.4218       3.2346        0.7604       0.1931         0.1145


** /proj/evolang2022/tiago/ST2022/data/hantganbangime/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Bankan_Tey          2.1491        0.5054       0.4180         0.3325       3.1579        0.7678       0.1741         0.1080
Ben_Tey             1.8553        0.4157       0.4598         0.4433       3.3772        0.7920       0.1624         0.0826
Bunoge              2.1119        0.4695       0.4640         0.3856       3.1119        0.6995       0.2241         0.1740
Jamsay              1.6770        0.4119       0.4943         0.4547       3.1726        0.7599       0.1878         0.1283
Mombo               2.0000        0.4702       0.4321         0.3556       3.1862        0.7107       0.2026         0.1523
Najamba             2.1732        0.5059       0.4055         0.3092       3.3631        0.7679       0.1811         0.0861
Nanga               1.8646        0.4723       0.4370         0.3602       3.1135        0.7337       0.2052         0.1411
Penange             1.8323        0.4511       0.4730         0.3822       3.0838        0.7074       0.2505         0.1584
Perge_Tegu          1.6299        0.4131       0.4683         0.4575       3.3701        0.7911       0.1600         0.1018
Tebul_Ure           2.5300        0.5776       0.3677         0.2575       3.4885        0.8031       0.1613         0.0931
Tiranige_Diga       1.9840        0.4708       0.4342         0.3465       3.2513        0.7587       0.1689         0.1253
Togo_Kan            2.0299        0.4815       0.4430         0.3780       3.1592        0.7443       0.1925         0.1413
Tommo_So            1.7411        0.4542       0.4355         0.3984       3.2768        0.7747       0.1832         0.1035
Toro_Tegu           2.2619        0.5819       0.3378         0.2700       2.9345        0.7309       0.2048         0.1349
Yanda_Dom           2.0654        0.4858       0.4269         0.3383       3.4112        0.7945       0.1763         0.0805
Yorno_So            1.8097        0.4657       0.4514         0.3793       3.2379        0.7916       0.1672         0.0932
TOTAL               1.9822        0.4770       0.4343         0.3655       3.2310        0.7580       0.1876         0.1190


** /proj/evolang2022/tiago/ST2022/data/hattorijaponic/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amami            2.2857        0.4218       0.5670         0.4101       2.2857        0.4602       0.5181         0.3807
Hachijo          0.4643        0.0874       0.8745         0.8713       2.2143        0.4374       0.4692         0.3875
Kagoshima        1.5714        0.3629       0.6262         0.4772       2.1111        0.5641       0.4549         0.2430
Kochi            0.1786        0.0264       0.9589         0.9596       1.2857        0.2799       0.6580         0.5829
Kyoto            0.3929        0.1304       0.9315         0.8024       1.3571        0.3472       0.6155         0.4882
Miyako           1.7500        0.3952       0.5821         0.4669       2.2143        0.5240       0.4433         0.3379
Oki              0.5714        0.1190       0.8230         0.8182       1.6071        0.3887       0.5871         0.4386
Sado             0.1786        0.0238       0.9605         0.9636       1.6429        0.3370       0.5869         0.5111
Shuri            1.3214        0.2863       0.6673         0.6038       2.3929        0.4723       0.4707         0.4114
Tokyo            0.6429        0.1243       0.8980         0.8136       1.3214        0.2970       0.6323         0.5626
TOTAL            0.9357        0.1978       0.7889         0.7187       1.8433        0.4108       0.5436         0.4344


** /proj/evolang2022/tiago/ST2022/data/hattorijaponic/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amami            1.9107        0.3667       0.6342         0.4873       2.5893        0.5121       0.4470         0.3577
Hachijo          0.8571        0.1697       0.7471         0.7580       2.2321        0.4770       0.4335         0.3585
Kagoshima        1.6429        0.4114       0.5521         0.4637       2.0185        0.5401       0.3936         0.2863
Kochi            0.2679        0.0569       0.9266         0.9114       1.5714        0.3755       0.5177         0.4933
Kyoto            0.4643        0.1298       0.8872         0.8046       1.5893        0.3769       0.5288         0.4890
Miyako           1.8036        0.4121       0.5511         0.4308       2.5536        0.6347       0.3290         0.2114
Oki              0.7321        0.1851       0.7613         0.6923       1.9107        0.4673       0.4446         0.3769
Sado             0.3036        0.0598       0.9161         0.9030       1.6786        0.3949       0.5095         0.4584
Shuri            1.9286        0.3579       0.6052         0.4967       2.4107        0.4823       0.4306         0.3954
Tokyo            0.4821        0.1034       0.8917         0.8377       1.4464        0.3379       0.5605         0.5232
TOTAL            1.0393        0.2253       0.7473         0.6785       2.0001        0.4599       0.4595         0.3950


** /proj/evolang2022/tiago/ST2022/data/hattorijaponic/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amami            2.3580        0.4239       0.5550         0.4353       2.7037        0.4979       0.4327         0.3635
Hachijo          0.9875        0.1911       0.7399         0.7179       2.6250        0.5548       0.3704         0.2754
Kagoshima        1.8554        0.4555       0.4998         0.4074       2.4337        0.6308       0.3198         0.2296
Kochi            0.2771        0.0615       0.9179         0.9004       1.9398        0.4267       0.4556         0.4180
Kyoto            0.4337        0.1176       0.8841         0.8189       1.9759        0.4341       0.4649         0.4087
Miyako           1.8072        0.4247       0.5139         0.4403       3.0482        0.6960       0.2677         0.1777
Oki              0.9398        0.2110       0.7049         0.6750       2.3614        0.5612       0.3733         0.2634
Sado             0.3293        0.0702       0.9045         0.8866       2.0000        0.4344       0.4498         0.4142
Shuri            2.1098        0.3659       0.5307         0.4946       2.8049        0.5329       0.3830         0.3300
Tokyo            0.5181        0.1115       0.8871         0.8217       2.1807        0.4930       0.4265         0.3397
TOTAL            1.1616        0.2433       0.7138         0.6598       2.4073        0.5262       0.3944         0.3220


** /proj/evolang2022/tiago/ST2022/data/hattorijaponic/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amami            2.5481        0.4318       0.5158         0.4121       3.3942        0.6088       0.3418         0.2533
Hachijo          1.0588        0.2090       0.7348         0.6909       3.0588        0.5795       0.3408         0.2589
Kagoshima        2.1376        0.5099       0.4757         0.3319       2.8257        0.6820       0.3022         0.1835
Kochi            0.4587        0.0900       0.8579         0.8636       2.6606        0.5818       0.3311         0.2655
Kyoto            0.5273        0.1403       0.8633         0.7836       2.6818        0.5624       0.3329         0.2746
Miyako           2.0000        0.4447       0.4836         0.4028       3.1263        0.7591       0.2336         0.0798
Oki              1.0550        0.2324       0.6770         0.6430       2.5505        0.5847       0.3562         0.2373
Sado             0.4495        0.0801       0.8755         0.8705       2.5364        0.5522       0.3790         0.2899
Shuri            2.4112        0.4361       0.4995         0.3850       3.6168        0.6455       0.2873         0.2121
Tokyo            0.6306        0.1321       0.8539         0.7847       2.5405        0.5406       0.3645         0.3049
TOTAL            1.3277        0.2707       0.6837         0.6168       2.8992        0.6097       0.3269         0.2360


** /proj/evolang2022/tiago/ST2022/data/hattorijaponic/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amami            2.6967        0.4527       0.4912         0.3535       3.7541        0.6483       0.3120         0.2167
Hachijo          1.3115        0.2644       0.6902         0.6067       3.4754        0.6398       0.2898         0.2082
Kagoshima        2.0593        0.4824       0.4541         0.3656       3.3185        0.7688       0.2190         0.1101
Kochi            0.6866        0.1441       0.7984         0.7822       3.1418        0.6242       0.2732         0.2328
Kyoto            0.5630        0.1436       0.8530         0.7805       3.0296        0.6094       0.3360         0.2185
Miyako           2.4299        0.5695       0.4172         0.2532       3.3962        0.8083       0.1967         0.0748
Oki              1.2667        0.2667       0.6461         0.6052       3.0074        0.6359       0.2974         0.1957
Sado             0.5000        0.0934       0.8537         0.8617       3.0299        0.6020       0.2946         0.2549
Shuri            2.6967        0.4867       0.4318         0.3624       3.6393        0.6563       0.2817         0.2072
Tokyo            0.8116        0.1567       0.8050         0.7381       3.1667        0.6342       0.3067         0.1967
TOTAL            1.5022        0.3060       0.6441         0.5709       3.2959        0.6627       0.2807         0.1916


** /proj/evolang2022/tiago/ST2022/data/listsamplesize/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
dutch            3.1765        0.5581       0.4299         0.2659       2.4902        0.4687       0.4522         0.3896
english          3.4000        0.6362       0.4104         0.2010       2.9412        0.6340       0.3859         0.2297
french           3.9268        0.7962       0.3124         0.1117       3.6829        0.8573       0.2381         0.0690
german           3.1176        0.5701       0.4665         0.2632       2.5686        0.5083       0.4632         0.3395
TOTAL            3.4052        0.6401       0.4048         0.2104       2.9207        0.6171       0.3848         0.2569


** /proj/evolang2022/tiago/ST2022/data/listsamplesize/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
dutch            3.2157        0.6341       0.3426         0.2220       2.6863        0.5157       0.3679         0.3278
english          3.1919        0.6461       0.3934         0.2076       2.8265        0.6137       0.3404         0.2444
french           4.2000        0.8523       0.2808         0.0720       3.7556        0.8599       0.2117         0.0645
german           2.8515        0.4976       0.4609         0.3190       2.6535        0.5056       0.3881         0.3474
TOTAL            3.3648        0.6575       0.3694         0.2051       2.9805        0.6237       0.3270         0.2460


** /proj/evolang2022/tiago/ST2022/data/listsamplesize/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
dutch            2.9346        0.5445       0.4069         0.2726       2.7908        0.5387       0.3200         0.3093
english          3.2098        0.7308       0.3164         0.1347       2.6913        0.6126       0.2998         0.2407
french           5.0400        0.8979       0.3133         0.0407       3.9000        0.8760       0.2060         0.0670
german           3.2914        0.5844       0.4120         0.2031       2.6887        0.4929       0.3829         0.3548
TOTAL            3.6190        0.6894       0.3621         0.1628       3.0177        0.6301       0.3022         0.2430


** /proj/evolang2022/tiago/ST2022/data/listsamplesize/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
dutch            2.5980        0.4677       0.4567         0.3349       3.1127        0.5974       0.2754         0.2440
english          2.6000        0.5565       0.4107         0.2817       3.1150        0.6913       0.2243         0.1680
french           5.0400        0.8979       0.3196         0.0407       3.9000        0.8760       0.2060         0.0670
german           3.0644        0.5591       0.4348         0.2428       3.0545        0.5656       0.3161         0.2708
TOTAL            3.3256        0.6203       0.4054         0.2250       3.2956        0.6826       0.2555         0.1874


** /proj/evolang2022/tiago/ST2022/data/listsamplesize/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
dutch            3.0000        0.5469       0.4496         0.2591       2.8039        0.5411       0.3100         0.2908
english          3.4337        0.7241       0.3152         0.1411       3.1647        0.6873       0.2108         0.1673
french           5.0588        0.9008       0.3324         0.0393       4.2353        0.8962       0.2180         0.0389
german           3.1818        0.5776       0.3954         0.2195       2.8340        0.5217       0.3320         0.3209
TOTAL            3.6686        0.6873       0.3732         0.1648       3.2595        0.6616       0.2677         0.2045


** /proj/evolang2022/tiago/ST2022/data/mannburmish/solutions-0.10.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Achang               2.2069        0.5325       0.4687         0.3116       2.3793        0.5931       0.4256         0.2568
Bela                 2.0517        0.5537       0.4905         0.2742       2.4483        0.6463       0.3884         0.2049
Lashi                2.0517        0.5112       0.5354         0.3367       2.3793        0.6052       0.4460         0.2287
Maru                 2.1897        0.5787       0.5028         0.2760       2.6552        0.6822       0.3756         0.1538
Phon                 1.9138        0.4937       0.5075         0.3424       1.8966        0.4891       0.4707         0.3700
WrittenBurmese       1.6379        0.5158       0.5107         0.3390       1.7241        0.5411       0.4538         0.3148
Zaiwa                1.8793        0.4862       0.5706         0.3224       2.0172        0.5195       0.4655         0.3167
TOTAL                1.9901        0.5245       0.5123         0.3146       2.2143        0.5823       0.4322         0.2637


** /proj/evolang2022/tiago/ST2022/data/mannburmish/solutions-0.20.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Achang               1.9646        0.4976       0.4444         0.3524       2.3894        0.6190       0.3626         0.2275
Bela                 1.8925        0.5106       0.4639         0.3290       2.4194        0.6342       0.3365         0.2209
Lashi                2.0000        0.4930       0.4856         0.3463       2.4261        0.6271       0.3759         0.2252
Maru                 2.1622        0.5751       0.4322         0.2803       2.5315        0.6607       0.3368         0.1983
Phon                 2.0105        0.5470       0.4403         0.3049       2.2842        0.6140       0.3629         0.2541
WrittenBurmese       1.9027        0.5745       0.3946         0.2760       1.9204        0.6243       0.3331         0.2623
Zaiwa                1.7857        0.4685       0.5322         0.3555       2.1964        0.5811       0.3849         0.2557
TOTAL                1.9597        0.5238       0.4562         0.3206       2.3096        0.6229       0.3561         0.2348


** /proj/evolang2022/tiago/ST2022/data/mannburmish/solutions-0.30.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Achang               2.2807        0.5389       0.3986         0.2898       2.5848        0.6494       0.3139         0.2029
Bela                 2.0840        0.5601       0.4316         0.2678       2.7227        0.6884       0.2683         0.1745
Lashi                1.9827        0.4880       0.4712         0.3427       2.4393        0.6215       0.3430         0.2189
Maru                 2.2651        0.5876       0.3986         0.2707       2.5843        0.6618       0.2992         0.2094
Phon                 2.3134        0.6088       0.3835         0.2528       2.5597        0.6800       0.2971         0.1991
WrittenBurmese       1.9212        0.5715       0.3788         0.2881       1.9030        0.5949       0.3236         0.2524
Zaiwa                1.8623        0.4802       0.4894         0.3488       2.3353        0.5966       0.3399         0.2478
TOTAL                2.1013        0.5479       0.4217         0.2944       2.4470        0.6418       0.3122         0.2150


** /proj/evolang2022/tiago/ST2022/data/mannburmish/solutions-0.40.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Achang               2.2568        0.5339       0.3924         0.3012       2.9459        0.7348       0.2454         0.1511
Bela                 2.1549        0.5725       0.4019         0.2633       2.9155        0.7351       0.2376         0.1452
Lashi                2.1528        0.5214       0.4137         0.3176       2.7773        0.7108       0.2676         0.1458
Maru                 2.2791        0.5953       0.3736         0.2695       2.8186        0.7184       0.2494         0.1532
Phon                 2.4267        0.6459       0.3646         0.2275       2.6933        0.7156       0.2871         0.1640
WrittenBurmese       2.0290        0.5960       0.3462         0.2622       2.2029        0.7073       0.2497         0.1394
Zaiwa                1.9163        0.4938       0.4520         0.3340       2.6744        0.6829       0.2769         0.1623
TOTAL                2.1736        0.5656       0.3921         0.2822       2.7183        0.7150       0.2591         0.1516


** /proj/evolang2022/tiago/ST2022/data/mannburmish/solutions-0.50.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Achang               2.3690        0.5663       0.3753         0.2761       2.8266        0.7005       0.2548         0.1676
Bela                 2.5633        0.6448       0.3267         0.2211       3.0443        0.7566       0.2208         0.1347
Lashi                2.2448        0.5650       0.3946         0.2803       2.8217        0.7041       0.2632         0.1689
Maru                 2.5150        0.6620       0.3205         0.2040       2.9962        0.7530       0.2248         0.1273
Phon                 2.4534        0.6542       0.3649         0.2124       2.9317        0.7871       0.2630         0.1085
WrittenBurmese       2.0121        0.5975       0.3490         0.2641       2.2996        0.7188       0.2530         0.1309
Zaiwa                2.1045        0.5442       0.4049         0.2954       2.9701        0.7568       0.2254         0.1280
TOTAL                2.3232        0.6049       0.3623         0.2505       2.8415        0.7396       0.2436         0.1380


