** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
cojubim          2.0339        0.3638       0.6201         0.4424       3.2373        0.6024       0.3272         0.1882
jaru             2.9057        0.4476       0.4883         0.3386       4.6981        0.7056       0.2582         0.0961
kitemoka         4.8182        0.6960       0.2728         0.0937       5.2500        0.7289       0.2465         0.0765
more             1.8451        0.3210       0.5445         0.5282       3.2535        0.6366       0.3063         0.1878
orowin           1.8030        0.2849       0.6131         0.5449       3.9091        0.6165       0.2677         0.2051
tapakura         3.2174        0.4783       0.4662         0.3029       4.7391        0.6874       0.2746         0.1343
tora             3.3077        0.4975       0.4510         0.2697       4.4769        0.7303       0.2377         0.1087
urupa            3.3953        0.5386       0.4746         0.2099       4.3953        0.7746       0.2503         0.0648
wanyam           2.2143        0.3170       0.5977         0.4922       3.9571        0.6132       0.3210         0.1975
wari             2.6716        0.4221       0.5108         0.3561       3.8358        0.6106       0.3177         0.2095
TOTAL            2.8212        0.4367       0.5039         0.3578       4.1752        0.6706       0.2807         0.1468


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3478        0.2815       0.6821         0.5404       3.5217        0.6213       0.3070         0.1812
jaru             3.8983        0.5563       0.4225         0.1977       4.8167        0.7589       0.2174         0.0732
kitemoka         4.7174        0.6579       0.2971         0.1105       5.0870        0.7017       0.2706         0.0851
more             2.6279        0.3918       0.5111         0.4464       3.7558        0.7199       0.2661         0.1142
orowin           1.9880        0.3225       0.5574         0.4935       4.1687        0.7093       0.2499         0.1081
tapakura         3.8367        0.5802       0.3983         0.1857       4.8571        0.6986       0.2714         0.1365
